Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
86.29,0.0894,0.38,-0.0056,-0.0,0.0455,-0.0734
109.01,0.1113,1.68,-0.0095,-0.0,0.044,-0.0977
109.21,0.1094,0.84,-0.0095,-0.0,0.0333,-0.1006
109.46,0.1184,1.1,-0.0095,0.0,0.0234,-0.1138
109.83,0.1341,0.31,-0.0079,-0.0024,0.0242,-0.1326
110.19,0.1239,0.13,0.0066,-0.037,0.028,-0.159
110.54,0.1442,0.5,0.0108,-0.0763,0.0268,-0.2196
110.87,0.1301,0.22,0.0014,-0.1294,0.01,-0.2593
111.22,0.1481,0.83,-0.0279,-0.1849,-0.0209,-0.3328
111.53,0.1572,0.12,-0.082,-0.2398,-0.0845,-0.397
111.85,0.1625,0.19,-0.1547,-0.2797,-0.1432,-0.4419
112.24,0.1484,1.4,-0.2501,-0.3043,-0.2675,-0.4517
113.0,0.1482,0.94,-0.4316,-0.3088,-0.4455,-0.4563
114.19,0.1479,0.46,-0.6864,-0.2759,-0.7085,-0.4221
114.96,0.141,0.16,-0.8678,-0.2687,-0.8852,-0.4086
115.57,0.1204,0.78,-1.0205,-0.2953,-1.0475,-0.4126
116.07,0.1131,0.66,-1.1381,-0.3448,-1.1524,-0.457
116.63,0.1018,0.15,-1.2414,-0.4196,-1.2386,-0.5214
117.47,0.0906,0.04,-1.3595,-0.5506,-1.3756,-0.6397
118.38,0.0848,0.23,-1.457,-0.7217,-1.4626,-0.8063
119.2,0.0732,0.03,-1.5176,-0.9134,-1.5266,-0.986
120.4,0.0451,0.08,-1.5483,-1.1796,-1.5432,-1.2244
121.56,0.0369,1.15,-1.5595,-1.4308,-1.5731,-1.4651
122.64,0.0341,2.26,-1.5597,-1.6829,-1.5638,-1.7167
123.69,0.0238,3.35,-1.5542,-1.9463,-1.5639,-1.968
124.88,0.0359,2.63,-1.5501,-2.1886,-1.568,-2.2197
126.02,0.0291,3.14,-1.5402,-2.4428,-1.5567,-2.4668
127.05,0.0268,2.9,-1.5229,-2.6954,-1.5357,-2.7189
128.21,0.0483,3.48,-1.4966,-2.9488,-1.5281,-2.9854
129.36,0.0516,3.11,-1.4282,-3.1976,-1.4778,-3.2116
130.3,0.0658,3.84,-1.3215,-3.4014,-1.382,-3.4271
131.14,0.0996,5.67,-1.1887,-3.5561,-1.2837,-3.5862
131.99,0.1104,5.44,-1.0444,-3.6614,-1.1454,-3.706
132.81,0.1223,5.01,-0.8848,-3.7317,-0.9869,-3.799
133.88,0.1148,4.32,-0.6359,-3.7805,-0.7305,-3.8455
134.95,0.1349,4.41,-0.3851,-3.7971,-0.489,-3.8831
136.15,0.1241,1.8,-0.1308,-3.8216,-0.2285,-3.8981
137.4,0.1147,1.2,0.1424,-3.8865,0.0417,-3.9415
138.55,0.1099,0.58,0.4106,-3.9753,0.3115,-4.0227
139.88,0.1167,0.15,0.6729,-4.0807,0.5659,-4.1273
141.3,0.091,1.4,0.9338,-4.2132,0.8439,-4.2273
143.71,0.0921,1.35,1.0137,-4.2651,0.9217,-4.2635
