Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
27.01,0.1037,0.58,-0.0,-0.0,0.0466,-0.0927
58.44,0.1032,0.59,-0.0023,-0.0,0.0457,-0.0914
58.76,0.0972,0.12,-0.0023,0.0,0.0443,-0.0853
59.26,0.1061,0.2,-0.0016,-0.0005,0.0433,-0.0966
59.72,0.0923,0.22,-0.0016,-0.0005,0.0166,-0.091
60.27,0.0981,2.28,-0.001,-0.0025,0.0021,-0.1006
60.76,0.1174,1.02,-0.0009,-0.0028,-0.009,-0.1199
61.32,0.1122,1.15,-0.0045,-0.0135,-0.0224,-0.1243
61.81,0.1287,0.53,-0.0434,-0.0796,-0.054,-0.2078
62.29,0.1228,0.51,-0.0997,-0.1313,-0.1181,-0.2526
62.78,0.1123,0.68,-0.1673,-0.1672,-0.1624,-0.2794
63.42,0.1002,0.64,-0.2605,-0.1951,-0.2705,-0.2947
64.55,0.0948,1.42,-0.4385,-0.209,-0.455,-0.3024
66.21,0.0896,1.33,-0.6959,-0.1888,-0.7259,-0.2733
67.81,0.0794,0.32,-0.9436,-0.1744,-0.9718,-0.2487
69.41,0.0499,1.49,-1.1961,-0.1654,-1.197,-0.2153
71.08,0.0481,2.34,-1.4544,-0.1646,-1.4344,-0.2083
72.73,0.054,2.69,-1.707,-0.1687,-1.6816,-0.2164
74.38,0.0544,3.12,-1.9531,-0.1679,-1.905,-0.1934
76.0,0.0605,4.1,-2.2048,-0.1615,-2.1449,-0.1706
77.67,0.0846,3.91,-2.4611,-0.1626,-2.3766,-0.1604
79.3,0.0948,4.31,-2.7117,-0.159,-2.6194,-0.1374
80.93,0.102,4.17,-2.9569,-0.1558,-2.8608,-0.1217
82.8,0.125,4.0,-3.2354,-0.1522,-3.1294,-0.086
84.63,0.1299,3.78,-3.5099,-0.1517,-3.4112,-0.0673
86.24,0.1072,4.04,-3.7553,-0.1473,-3.683,-0.0681
88.14,0.1225,3.12,-4.0348,-0.1397,-3.96,-0.0427
89.57,0.1052,3.28,-4.2863,-0.1342,-4.2373,-0.0412
91.01,0.0943,3.36,-4.5331,-0.1259,-4.495,-0.0396
92.53,0.0944,3.48,-4.8122,-0.1077,-4.7576,-0.0307
94.23,0.0938,3.38,-5.0871,-0.0886,-5.0182,-0.0249
95.87,0.0938,3.16,-5.357,-0.0806,-5.2952,-0.0102
97.51,0.1013,3.73,-5.637,-0.0724,-5.5648,-0.0013
99.08,0.091,3.36,-5.8891,-0.0501,-5.8177,0.0065
100.62,0.0832,3.26,-6.1523,0.0337,-6.0823,0.0788
102.4,0.0835,3.24,-6.4201,0.1317,-6.3496,0.1765
104.16,0.077,3.54,-6.6844,0.1909,-6.6125,0.2186
105.86,0.1018,3.23,-6.9592,0.238,-6.8653,0.2771
107.43,0.1291,4.7,-7.2144,0.2962,-7.0991,0.3544
109.17,0.1487,4.45,-7.4757,0.386,-7.3425,0.4521
110.13,0.1378,3.06,-7.6072,0.4676,-7.4767,0.5118
111.07,0.1329,3.36,-7.7148,0.5727,-7.5857,0.6044
112.2,0.1376,2.64,-7.815,0.7212,-7.6775,0.7239
113.15,0.1272,1.82,-7.8717,0.8648,-7.7462,0.8442
114.28,0.1305,2.26,-7.8917,1.0415,-7.7666,1.0044
115.86,0.1217,2.58,-7.8671,1.292,-7.7518,1.253
117.6,0.1168,1.94,-7.8033,1.5655,-7.7074,1.4988
119.81,0.0865,0.29,-7.7321,1.7821,-7.6702,1.7217
120.44,0.0711,0.15,-7.7321,1.7821,-7.6878,1.7265
121.59,0.0651,0.62,-7.7147,1.799,-7.6975,1.7362
123.21,0.0665,0.53,-7.6942,1.8135,-7.6958,1.7469
