Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
27.92,0.1993,0.37,-0.0,-0.0,0.1525,-0.1283
70.05,0.1538,1.75,0.0883,0.0114,0.1847,-0.1083
70.29,0.1548,1.91,0.1351,0.031,0.2126,-0.103
70.64,0.1628,1.69,0.1963,0.0756,0.2645,-0.0722
71.2,0.1761,1.23,0.2749,0.1674,0.3284,-0.0004
72.05,0.1659,0.09,0.371,0.3461,0.4093,0.1846
73.19,0.1819,1.17,0.4692,0.6156,0.5007,0.4365
74.48,0.1754,2.0,0.554,0.8748,0.5784,0.7011
75.66,0.2007,1.98,0.6314,1.1461,0.6611,0.9476
76.8,0.2126,1.76,0.7066,1.4215,0.7452,1.2123
78.08,0.2017,1.73,0.784,1.6852,0.8271,1.4882
79.27,0.1821,2.69,0.8674,1.9461,0.9107,1.7693
80.4,0.1623,2.33,0.9647,2.216,0.9902,2.0557
81.7,0.1459,2.27,1.0642,2.4712,1.0758,2.3257
82.89,0.1335,1.1,1.1808,2.7333,1.1641,2.6008
84.03,0.1408,1.49,1.3056,2.9906,1.2685,2.8549
85.43,0.1176,2.51,1.4424,3.253,1.4133,3.1391
86.72,0.1271,2.88,1.5848,3.5286,1.5585,3.4042
88.01,0.1283,3.72,1.7301,3.8012,1.7229,3.673
89.41,0.1412,4.07,1.8865,4.0676,1.9024,3.9274
90.66,0.1411,3.01,2.0527,4.321,2.0486,4.18
92.12,0.1737,2.8,2.251,4.592,2.2546,4.4184
93.34,0.1841,3.36,2.4528,4.7801,2.4556,4.596
94.27,0.2027,3.69,2.6472,4.8961,2.652,4.6935
95.51,0.2349,4.79,2.9147,4.9936,2.9093,4.7588
96.76,0.2415,4.22,3.1875,5.0508,3.1622,4.8106
97.8,0.2628,4.34,3.4373,5.0679,3.3919,4.809
98.53,0.2503,3.35,3.6156,5.0457,3.551,4.8039
99.82,0.2571,3.47,3.836,4.9653,3.7375,4.7278
100.81,0.2222,2.07,3.9482,4.8958,3.8452,4.6989
102.51,0.2035,1.69,3.98,4.8783,3.8932,4.6942
103.68,0.177,0.9,3.9798,4.8783,3.8993,4.7207
