Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
22.82,0.0931,0.49,-0.0,-0.0,0.0587,-0.0723
43.24,0.0833,0.37,0.2566,0.001,0.2912,-0.0748
44.43,0.0961,0.07,0.5364,0.0021,0.5245,-0.0933
45.47,0.1352,0.36,0.7948,0.002,0.7509,-0.1259
46.63,0.1407,0.37,1.0416,0.0007,0.9936,-0.1315
47.74,0.154,0.54,1.2867,0.0012,1.2364,-0.1444
48.77,0.1685,0.03,1.5391,0.0017,1.4879,-0.1588
50.04,0.1622,0.69,1.818,0.0168,1.7646,-0.1364
51.17,0.1632,1.42,2.0684,0.0385,2.0142,-0.1154
52.19,0.1614,1.28,2.3208,0.0513,2.2645,-0.1
53.3,0.1706,1.27,2.5668,0.0512,2.5105,-0.1099
54.46,0.2013,0.05,2.8179,0.041,2.7517,-0.1491
55.52,0.2061,0.85,3.0703,0.0375,2.9894,-0.1521
56.56,0.2129,1.18,3.321,0.0441,3.2354,-0.1508
57.74,0.1911,1.63,3.5767,0.0419,3.4716,-0.1177
58.81,0.164,1.92,3.8285,0.023,3.7196,-0.0996
59.82,0.1443,1.15,4.0744,-0.0107,3.9752,-0.1155
61.13,0.1388,0.77,4.3522,-0.0659,4.257,-0.1668
62.33,0.144,1.06,4.6187,-0.14,4.5133,-0.2381
63.46,0.1437,0.89,4.8853,-0.2219,4.7765,-0.3157
64.75,0.1151,0.18,5.148,-0.3161,5.0571,-0.3867
65.96,0.0981,0.3,5.4099,-0.4171,5.3403,-0.4861
67.09,0.0739,0.02,5.6723,-0.5078,5.6067,-0.5418
68.37,0.0662,0.53,5.9407,-0.5695,5.8745,-0.5706
69.59,0.05,0.42,6.2135,-0.6216,6.1653,-0.6085
70.71,0.0362,1.67,6.487,-0.6617,6.4632,-0.6344
71.89,0.0437,1.22,6.7378,-0.6846,6.7284,-0.6419
73.12,0.0466,1.58,7.0129,-0.6957,7.0258,-0.651
74.14,0.039,1.32,7.2686,-0.6692,7.2782,-0.6315
75.04,0.0184,1.33,7.4608,-0.6049,7.4606,-0.5866
75.75,0.0183,0.56,7.591,-0.5248,7.6044,-0.5373
76.54,0.0287,0.09,7.7188,-0.4002,7.7369,-0.4224
77.77,0.0438,0.54,7.8871,-0.1402,7.9071,-0.1793
79.15,0.0655,1.11,8.0376,0.1301,8.0637,0.07
80.49,0.1043,1.94,8.207,0.3928,8.2323,0.2916
81.74,0.1117,1.85,8.3761,0.6513,8.3957,0.5412
83.47,0.1222,1.5,8.5545,0.9031,8.5804,0.7837
84.54,0.1166,2.21,8.5919,0.9499,8.6332,0.8408
85.24,0.1149,2.62,8.5918,0.9498,8.6406,0.8458
