Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
14.92,0.0579,0.71,-0.0,-0.0,0.0368,-0.0447
32.43,0.0631,1.02,0.0,-0.0,0.032,-0.0544
32.76,0.0669,0.26,0.0,-0.0,0.0249,-0.0622
33.1,0.0638,0.65,0.0,-0.0,0.0154,-0.0619
33.43,0.0585,1.15,0.0009,-0.0009,-0.0082,-0.0587
33.74,0.0521,0.82,0.002,-0.0023,0.0007,-0.0544
34.06,0.0517,0.98,0.0024,-0.0034,-0.0167,-0.0514
34.46,0.068,0.23,0.003,-0.0063,-0.0296,-0.066
34.8,0.0924,0.91,0.003,-0.009,-0.0253,-0.0971
35.14,0.0858,0.79,0.0023,-0.0122,-0.0205,-0.0949
35.47,0.0924,0.99,-0.0116,-0.0428,-0.032,-0.133
35.98,0.0961,0.28,-0.0563,-0.1013,-0.0791,-0.1947
36.46,0.0797,0.41,-0.1177,-0.1466,-0.1397,-0.2232
37.09,0.0779,0.17,-0.2127,-0.1852,-0.2449,-0.2561
38.09,0.0839,0.21,-0.3559,-0.2095,-0.3985,-0.2818
40.07,0.071,1.73,-0.6339,-0.2104,-0.6727,-0.2699
41.65,0.0454,2.79,-0.885,-0.2062,-0.9094,-0.2444
43.44,0.0264,2.77,-1.1548,-0.2121,-1.1682,-0.2348
45.08,0.0148,3.13,-1.4049,-0.2171,-1.4197,-0.2163
46.73,0.038,4.96,-1.6563,-0.2256,-1.659,-0.1877
48.35,0.0636,4.66,-1.9075,-0.2379,-1.8831,-0.1792
50.15,0.0895,5.13,-2.1803,-0.2502,-2.1562,-0.164
51.78,0.1117,5.38,-2.4356,-0.2539,-2.3878,-0.153
53.61,0.1225,5.06,-2.7056,-0.253,-2.6528,-0.1425
55.26,0.1449,5.95,-2.9562,-0.2538,-2.9107,-0.1162
57.12,0.1501,5.05,-3.2358,-0.2522,-3.1804,-0.1127
58.93,0.1377,2.78,-3.5108,-0.2515,-3.4598,-0.1236
60.59,0.1445,2.02,-3.756,-0.2373,-3.6968,-0.1054
62.33,0.1579,2.14,-4.0124,-0.2003,-3.9552,-0.0531
64.13,0.1631,1.7,-4.286,-0.1686,-4.2278,-0.0163
65.83,0.16,2.28,-4.5317,-0.1505,-4.4857,0.0027
67.58,0.1302,2.69,-4.7871,-0.1397,-4.732,-0.0218
68.93,0.1268,2.51,-4.9872,-0.1153,-4.9248,-0.005
70.73,0.1084,2.67,-5.2469,-0.0291,-5.1805,0.0566
72.55,0.0818,1.06,-5.5096,0.0652,-5.4426,0.1121
74.36,0.0821,1.96,-5.7795,0.147,-5.7062,0.1841
76.12,0.0938,2.36,-6.0482,0.1855,-5.9571,0.2078
77.68,0.1082,2.96,-6.3002,0.2146,-6.1925,0.2252
79.33,0.1298,3.67,-6.5564,0.2464,-6.427,0.2565
80.86,0.1057,4.21,-6.8017,0.268,-6.6986,0.2914
82.39,0.1184,4.19,-7.053,0.2938,-6.9381,0.3224
84.13,0.1354,4.68,-7.3323,0.3484,-7.2062,0.3977
85.51,0.1405,4.3,-7.5464,0.4317,-7.4215,0.4961
86.29,0.1377,4.69,-7.6483,0.5019,-7.5192,0.5498
87.23,0.1286,3.11,-7.7543,0.6147,-7.6273,0.6349
88.18,0.133,3.22,-7.8347,0.7464,-7.7023,0.7594
89.21,0.1287,2.43,-7.8848,0.8939,-7.7573,0.8771
90.14,0.1118,2.54,-7.9004,1.0462,-7.7923,1.0175
91.41,0.1034,2.8,-7.8814,1.2113,-7.784,1.1766
93.15,0.0898,1.35,-7.8131,1.483,-7.7427,1.4272
94.96,0.0889,0.3,-7.7355,1.7552,-7.6836,1.6829
97.1,0.0589,0.18,-7.6658,1.9248,-7.6281,1.8796
97.76,0.0296,0.58,-7.6658,1.9248,-7.6694,1.8954
98.6,0.0206,0.75,-7.6659,1.9247,-7.6751,1.9063
99.84,0.0219,1.35,-7.6659,1.9247,-7.6773,1.9059
