Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
41.84,0.1058,0.57,-0.0005,-0.0,0.0704,-0.0786
58.32,0.1093,0.72,-0.0017,-0.0,0.0463,-0.0981
58.53,0.1296,0.69,-0.0017,-0.0,0.0345,-0.1244
58.76,0.1407,1.53,-0.0017,0.0,0.0043,-0.1406
59.11,0.1536,0.64,-0.0017,0.0,0.0001,-0.1536
59.47,0.1596,0.11,0.0042,-0.0131,-0.014,-0.1717
59.83,0.1597,0.6,0.0104,-0.0448,-0.0083,-0.2034
60.17,0.1422,0.09,0.0038,-0.1169,-0.0071,-0.2586
60.51,0.1445,0.65,-0.0245,-0.1862,-0.0188,-0.3306
60.84,0.131,0.44,-0.073,-0.2456,-0.0685,-0.3765
61.15,0.1082,1.09,-0.1367,-0.2891,-0.1201,-0.396
61.46,0.1109,1.44,-0.2092,-0.3155,-0.199,-0.4259
61.86,0.1115,1.32,-0.3123,-0.3275,-0.3082,-0.4389
62.99,0.1067,1.4,-0.5695,-0.3035,-0.5922,-0.4077
64.12,0.0946,1.26,-0.8215,-0.275,-0.8356,-0.3685
64.95,0.0786,1.33,-1.0252,-0.2899,-1.043,-0.3664
65.75,0.0574,2.72,-1.2234,-0.3477,-1.2282,-0.4049
66.92,0.0626,1.67,-1.4489,-0.4739,-1.4277,-0.5329
68.23,0.0525,1.95,-1.702,-0.6532,-1.6866,-0.7034
69.59,0.0549,1.34,-1.9718,-0.8604,-1.9275,-0.8927
71.1,0.0693,1.15,-2.2326,-1.0643,-2.1674,-1.0879
72.48,0.0815,1.33,-2.501,-1.2673,-2.4216,-1.2859
73.92,0.0808,1.41,-2.7679,-1.4717,-2.6872,-1.4671
75.36,0.0903,2.16,-3.0268,-1.6777,-2.9412,-1.6489
76.71,0.1084,2.46,-3.2904,-1.9054,-3.201,-1.8441
78.21,0.1149,2.92,-3.55,-2.1083,-3.4716,-2.0243
79.48,0.1149,2.59,-3.8092,-2.2577,-3.7347,-2.1702
80.89,0.1247,2.97,-4.0712,-2.352,-4.0149,-2.2407
82.14,0.1194,2.3,-4.338,-2.4406,-4.2799,-2.3363
83.27,0.1032,2.19,-4.6019,-2.5301,-4.5536,-2.4389
84.48,0.0957,1.61,-4.8685,-2.6085,-4.8197,-2.5262
85.74,0.0662,0.23,-5.1446,-2.6613,-5.1127,-2.6033
86.76,0.0229,1.17,-5.3899,-2.6845,-5.3671,-2.6821
87.82,0.0282,0.97,-5.6475,-2.6976,-5.6193,-2.6982
88.99,0.0218,0.16,-5.8955,-2.7147,-5.881,-2.6985
90.16,0.0127,0.84,-6.1686,-2.7828,-6.1638,-2.771
91.3,0.0144,0.0,-6.4332,-2.8781,-6.4334,-2.8925
92.58,0.0195,0.9,-6.6969,-2.9653,-6.698,-2.9458
93.75,0.0263,0.62,-6.9645,-3.0538,-6.9667,-3.0276
94.89,0.01,0.94,-7.2344,-3.1498,-7.244,-3.1522
96.17,0.0111,1.41,-7.4932,-3.2386,-7.4898,-3.2492
97.34,0.0383,1.8,-7.7606,-3.3194,-7.7394,-3.3514
98.48,0.05,1.9,-8.0283,-3.3932,-7.9919,-3.4276
99.78,0.0463,0.39,-8.2974,-3.4754,-8.253,-3.4885
100.63,0.0429,1.1,-8.441,-3.5541,-8.3994,-3.5645
101.24,0.0346,1.42,-8.5543,-3.6532,-8.5204,-3.6463
102.08,0.0271,1.37,-8.6453,-3.7769,-8.6191,-3.7702
102.91,0.036,0.01,-8.7189,-3.9394,-8.6878,-3.9577
104.13,0.0312,0.17,-8.7799,-4.2067,-8.7489,-4.2036
104.94,0.0284,0.27,-8.7865,-4.4099,-8.7581,-4.4117
105.92,0.0214,0.25,-8.7433,-4.6286,-8.7221,-4.6314
107.29,0.0174,0.03,-8.6547,-4.8446,-8.6376,-4.8479
107.82,0.006,0.42,-8.6469,-4.8589,-8.6528,-4.8594
108.32,0.0269,0.51,-8.6469,-4.8589,-8.6735,-4.8632
109.39,0.0315,0.34,-8.6265,-4.8722,-8.6567,-4.8812
