Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
10.83,0.1162,0.18,0.0,0.0,0.0732,-0.0902
28.9,0.123,0.32,0.2746,-0.0296,0.3247,-0.1419
30.02,0.1065,0.55,0.5318,-0.0298,0.5616,-0.132
31.18,0.0939,0.22,0.7823,-0.0192,0.7797,-0.113
32.24,0.0865,0.29,1.0351,-0.0174,1.0356,-0.1038
33.27,0.0924,0.43,1.2831,-0.0214,1.2776,-0.1136
34.47,0.1182,0.33,1.5415,-0.0235,1.5195,-0.1397
35.55,0.131,0.69,1.7906,-0.0154,1.78,-0.1459
36.56,0.1404,1.01,2.0417,0.0042,2.0153,-0.1337
37.73,0.1487,1.5,2.2937,0.013,2.2419,-0.1264
38.84,0.1294,2.79,2.549,-0.0157,2.4929,-0.1323
39.46,0.1474,1.99,2.6987,-0.0705,2.6358,-0.2038
40.41,0.1337,2.83,2.8607,-0.1753,2.8007,-0.2948
40.99,0.0832,2.27,2.9426,-0.2622,2.8927,-0.3288
41.81,0.0707,3.34,3.0371,-0.4189,2.9885,-0.4701
42.46,0.0495,2.39,3.0839,-0.5582,3.0542,-0.5978
43.38,0.0501,1.85,3.1104,-0.7842,3.0821,-0.8255
44.49,0.0306,2.3,3.1049,-1.0374,3.0885,-1.0632
45.65,0.0111,1.61,3.0855,-1.2877,3.0771,-1.2949
46.72,0.0273,1.49,3.0439,-1.5403,3.0177,-1.5478
49.28,0.0423,0.97,3.0181,-1.7965,2.9815,-1.8177
50.44,0.0372,1.39,2.9531,-2.0695,2.9161,-2.0669
51.77,0.0363,1.02,2.8667,-2.3438,2.8308,-2.3386
53.17,0.0364,0.56,2.7682,-2.6033,2.735,-2.5884
54.34,0.0269,1.32,2.6423,-2.8629,2.6295,-2.8393
55.82,0.023,1.03,2.5105,-3.1163,2.4947,-3.0995
57.2,0.0392,0.64,2.3495,-3.3804,2.3315,-3.3455
58.45,0.0443,1.35,2.1815,-3.641,2.1903,-3.5976
59.89,0.0599,0.84,2.0093,-3.8987,2.0137,-3.8389
61.34,0.0679,1.07,1.822,-4.1593,1.8374,-4.0932
62.51,0.0564,1.14,1.7601,-4.2415,1.7531,-4.1856
62.77,0.0507,1.15,1.7601,-4.2415,1.7339,-4.198
63.13,0.071,0.08,1.7601,-4.2415,1.7015,-4.2013
63.49,0.0556,0.35,1.7601,-4.2414,1.7074,-4.2236
63.96,0.0463,0.43,1.76,-4.2414,1.7139,-4.2459
64.41,0.0557,0.72,1.76,-4.2414,1.7148,-4.2739
65.04,0.0557,0.82,1.76,-4.2414,1.7066,-4.2572
66.1,0.0751,1.08,1.7599,-4.2413,1.6858,-4.2537
