Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
11.43,0.1477,0.19,0.0,0.0,0.0986,-0.1099
53.25,0.1397,0.89,0.0573,0.0069,0.126,-0.1148
53.49,0.1589,1.86,0.1093,0.0253,0.1776,-0.1181
53.84,0.1569,1.73,0.1724,0.0678,0.2421,-0.0728
54.28,0.1429,0.67,0.2361,0.1396,0.3044,0.014
54.93,0.1544,1.46,0.3103,0.2721,0.3825,0.1357
56.07,0.1583,1.7,0.4086,0.5404,0.4749,0.3967
57.35,0.1659,1.7,0.4826,0.8053,0.5222,0.6442
58.54,0.1625,1.43,0.5636,1.0752,0.6004,0.9169
59.69,0.1684,1.01,0.6549,1.3485,0.6804,1.1821
60.96,0.1729,0.69,0.743,1.6023,0.7838,1.4343
64.6,0.1821,0.65,0.8347,1.8726,0.8812,1.6965
65.8,0.183,2.37,0.9176,2.1377,0.9619,1.9601
66.95,0.1803,2.56,1.0183,2.4123,1.0558,2.2359
68.23,0.1716,2.87,1.1173,2.6656,1.1489,2.4969
69.43,0.164,2.5,1.2277,2.929,1.2613,2.7684
70.58,0.1559,2.14,1.343,3.1889,1.3549,3.0334
71.86,0.1579,2.46,1.4638,3.4336,1.4802,3.2766
73.27,0.174,3.33,1.5993,3.6899,1.6069,3.5161
74.54,0.1796,3.83,1.7501,3.9546,1.7771,3.7771
75.96,0.2116,5.19,1.9174,4.2184,1.9737,4.0144
77.23,0.2625,5.8,2.0872,4.4706,2.178,4.2243
78.67,0.2677,4.59,2.2878,4.7278,2.3454,4.4664
79.6,0.2674,5.17,2.4384,4.8576,2.5126,4.6007
80.25,0.2581,4.9,2.5751,4.9343,2.6505,4.6875
81.37,0.2516,4.34,2.8384,5.0105,2.8919,4.7647
85.6,0.2708,4.92,3.1028,5.0527,3.1598,4.788
87.22,0.3028,5.89,3.3746,5.0705,3.4245,4.7718
88.25,0.3183,5.78,3.6261,5.0597,3.6508,4.7423
89.36,0.3154,5.54,3.8769,5.0432,3.8756,4.7278
