Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
158.87,0.1016,2.56,-0.8587,0.4881,-0.8995,0.5812
161.22,0.118,2.78,-0.7403,0.257,-0.7738,0.3701
163.57,0.1508,1.89,-0.5735,0.0508,-0.6094,0.1973
164.81,0.1541,1.3,-0.4724,-0.0347,-0.4975,0.1173
165.41,0.1502,1.67,-0.413,-0.0633,-0.4472,0.0829
167.03,0.1625,1.83,-0.2522,-0.1015,-0.3023,0.053
168.88,0.1439,0.02,-0.0563,-0.119,-0.127,0.0064
169.46,0.1266,0.08,-0.0086,-0.1094,-0.0876,-0.0105
170.99,0.1344,1.1,0.1666,-0.0726,0.0745,0.0254
173.45,0.1153,0.37,0.3039,-0.0804,0.2144,-0.0077
175.78,0.1125,0.85,0.5563,-0.1372,0.4621,-0.0756
178.2,0.1159,0.1,0.8117,-0.2281,0.7164,-0.1622
180.07,0.0961,1.08,0.9315,-0.2923,0.8562,-0.2326
180.57,0.0941,1.01,0.9337,-0.2946,0.8579,-0.2388
181.13,0.078,1.21,0.9337,-0.2946,0.8808,-0.2372
181.64,0.0646,2.17,0.9347,-0.2976,0.8952,-0.2465
182.08,0.0661,1.78,0.9352,-0.3036,0.8938,-0.2521
182.49,0.0914,2.6,0.9342,-0.3128,0.8868,-0.2347
182.95,0.0804,2.59,0.9301,-0.3245,0.8924,-0.2535
183.5,0.0739,3.05,0.9224,-0.3362,0.8838,-0.2732
183.96,5.0709,111.84,0.8934,-0.365,-2.3881,-4.231
