Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
15.61,0.1184,0.44,0.0,0.0,0.0483,-0.1081
29.13,0.1268,1.32,0.0811,0.0075,0.0652,-0.1183
29.36,0.1524,2.4,0.1371,0.0282,0.1236,-0.1236
29.6,0.1555,2.96,0.1883,0.0626,0.1782,-0.0926
29.83,0.1657,2.31,0.2281,0.1035,0.22,-0.0619
31.89,0.1785,1.03,0.4056,0.3609,0.3933,0.1828
34.34,0.1965,1.62,0.5696,0.6158,0.5574,0.4197
36.77,0.2126,1.29,0.7071,0.8667,0.6747,0.6566
39.78,0.2057,0.47,0.8328,1.12,0.8041,0.9163
41.95,0.1935,1.72,0.9725,1.3055,0.9524,1.113
44.84,0.192,1.68,1.2056,1.5594,1.1656,1.3716
46.32,0.1837,1.31,1.3183,1.7451,1.279,1.5657
48.45,0.1959,1.09,1.3982,1.9835,1.3659,1.7903
50.6,0.2129,2.29,1.4315,2.2406,1.4197,2.028
51.32,0.1971,2.21,1.4255,2.3286,1.4117,2.1319
53.43,0.1937,1.58,1.3881,2.5829,1.4028,2.3897
55.33,0.2036,1.89,1.3764,2.8401,1.4007,2.6379
57.26,0.1862,1.88,1.3657,3.0958,1.398,2.9124
59.27,0.1755,2.54,1.3752,3.3529,1.3871,3.1778
61.1,0.1468,1.75,1.365,3.6025,1.3594,3.4558
63.05,0.1706,2.46,1.363,3.8561,1.3648,3.6855
65.95,0.1654,2.91,1.3794,4.1068,1.3907,3.9418
68.46,0.1783,5.04,1.3813,4.3642,1.4703,4.2098
70.93,0.1486,4.68,1.3555,4.6181,1.4444,4.4991
74.2,0.155,4.84,1.3339,4.7713,1.4534,4.6726
76.61,0.1436,2.55,1.3286,4.8687,1.4417,4.7801
77.28,0.1142,1.32,1.3286,4.8687,1.4181,4.7977
78.13,0.107,1.07,1.3286,4.8687,1.4055,4.7942
80.72,0.1,1.95,1.3478,4.8927,1.4135,4.8172
82.21,0.0447,1.74,1.3478,4.8927,1.3562,4.8488
84.53,0.0198,0.38,1.3477,4.8926,1.3431,4.8734
96.18,0.0221,0.7,1.3569,4.8939,1.3467,4.8743
96.41,0.0176,1.95,1.3671,4.8932,1.3647,4.8758
96.65,0.0145,1.21,1.3757,4.8906,1.3668,4.8791
96.89,0.0121,1.31,1.4061,4.8716,1.3994,4.8616
97.12,0.007,1.81,1.4471,4.832,1.4496,4.8255
97.34,0.0041,1.44,1.4772,4.7851,1.4795,4.7886
97.57,0.0116,0.95,1.4967,4.7323,1.494,4.7436
97.82,0.0035,1.71,1.5047,4.6713,1.5017,4.6695
98.15,0.0161,0.46,1.4978,4.5892,1.4887,4.5759
98.69,0.0316,0.28,1.459,4.4553,1.4353,4.4345
99.82,0.016,1.11,1.3288,4.202,1.3131,4.205
101.02,0.0203,2.41,1.1647,3.9469,1.1455,3.9536
102.28,0.0366,1.89,0.9635,3.6942,0.9284,3.7048
103.65,0.0407,0.77,0.7281,3.4418,0.6976,3.4688
104.95,0.0559,1.68,0.4725,3.2243,0.4318,3.2626
106.15,0.0835,3.3,0.2187,3.0499,0.1627,3.1118
107.58,0.0972,3.74,-0.0335,2.9333,-0.0994,3.0048
108.65,0.1292,4.95,-0.2846,2.8379,-0.3662,2.938
109.46,0.1343,5.02,-0.4667,2.7428,-0.5558,2.8433
110.13,0.1396,5.38,-0.5986,2.6346,-0.6974,2.7332
111.22,0.16,5.57,-0.769,2.4198,-0.8791,2.5358
112.02,0.1599,5.76,-0.8618,2.2402,-0.955,2.3701
113.09,0.1793,5.22,-0.9373,1.9859,-1.0523,2.1235
114.32,0.1856,4.99,-0.9743,1.7329,-1.1017,1.8679
115.35,0.1785,3.09,-1.022,1.4757,-1.1542,1.5955
116.42,0.1628,2.58,-1.1085,1.2213,-1.2323,1.3271
117.52,0.1531,2.27,-1.22,0.9705,-1.3422,1.0627
118.66,0.1095,1.3,-1.3539,0.7158,-1.4386,0.7853
119.86,0.0872,0.91,-1.5268,0.4597,-1.5991,0.5083
122.35,0.0891,1.34,-1.7438,0.2178,-1.8086,0.279
123.34,0.0895,0.54,-1.7273,0.2285,-1.815,0.2463
124.06,0.1069,0.95,-1.719,0.2304,-1.8177,0.2712
124.93,0.0976,2.22,-1.721,0.23,-1.8166,0.2492
134.53,0.0938,2.72,-1.7185,0.2299,-1.8116,0.2411
145.53,0.0601,2.94,-1.7932,0.2299,-1.8532,0.225
146.75,0.056,1.69,-1.9026,0.2042,-1.9573,0.1923
149.01,0.0407,1.11,-2.1522,0.1173,-2.191,0.105
151.32,0.0314,1.96,-2.4104,0.0418,-2.436,0.0235
153.63,0.013,2.83,-2.6682,-0.0127,-2.6772,-0.0033
154.66,0.034,3.0,-2.923,-0.048,-2.9254,-0.0141
155.69,0.0478,2.63,-3.1801,-0.069,-3.1659,-0.0234
156.77,0.0546,2.34,-3.4376,-0.0755,-3.4151,-0.0257
157.76,0.0545,1.61,-3.6908,-0.0639,-3.6605,-0.0186
158.79,0.0591,2.02,-3.9478,-0.0418,-3.9194,0.0101
159.81,0.0431,1.35,-4.1992,-0.0259,-4.177,0.011
160.65,0.042,2.78,-4.3671,-0.0276,-4.3498,0.0106
160.92,0.0169,1.88,-4.4302,-0.0467,-4.4282,-0.0299
161.24,0.017,1.98,-4.4919,-0.0809,-4.4921,-0.0639
161.95,0.004,0.3,-4.6363,-0.1707,-4.6398,-0.1727
162.25,0.0193,0.4,-4.7102,-0.1882,-4.7204,-0.2045
162.65,0.0242,0.69,-4.8115,-0.1898,-4.8156,-0.2136
163.21,0.0374,1.99,-4.9537,-0.1608,-4.9578,-0.1981
164.28,0.0511,2.23,-5.2115,-0.0749,-5.2113,-0.126
165.35,0.069,1.78,-5.4642,0.0212,-5.4475,-0.0457
166.22,0.0626,2.36,-5.6678,0.0843,-5.6396,0.0284
167.26,0.0788,1.32,-5.9194,0.138,-5.8732,0.0741
168.49,0.0753,0.63,-6.175,0.2221,-6.1296,0.1621
169.39,0.0647,2.1,-6.3883,0.2845,-6.3355,0.2472
170.42,0.0659,1.74,-6.6462,0.3132,-6.5872,0.2838
171.46,0.0747,1.02,-6.9031,0.3339,-6.836,0.301
172.49,0.0938,0.72,-7.1582,0.3788,-7.0789,0.3287
173.57,0.0931,0.8,-7.4067,0.4676,-7.329,0.4164
174.24,0.1002,0.77,-7.5542,0.5592,-7.4776,0.4945
174.8,0.0914,0.32,-7.6561,0.6618,-7.5875,0.6014
175.4,0.0898,0.56,-7.7404,0.7878,-7.6802,0.7212
175.87,0.0843,1.11,-7.7849,0.8967,-7.7446,0.8226
176.39,0.0874,0.15,-7.8057,1.0246,-7.7705,0.9447
177.13,0.0903,0.37,-7.8013,1.2092,-7.7853,1.1202
178.17,0.0859,0.45,-7.7554,1.4648,-7.7544,1.3789
179.19,0.0797,0.56,-7.7025,1.7184,-7.7032,1.6387
180.3,0.0743,0.44,-7.6387,1.973,-7.653,1.9001
181.14,0.081,0.71,-7.6146,2.0414,-7.6419,1.9652
181.5,0.0638,0.26,-7.6146,2.0414,-7.6417,1.9837
182.55,0.0744,0.29,-7.5871,2.0629,-7.6396,2.0102
183.69,0.0593,1.52,-7.5626,2.0766,-7.6105,2.0417
