Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
22.02,0.1853,0.32,0.0,0.0,0.1217,-0.1397
39.66,0.1761,0.03,0.1172,0.0135,0.2088,-0.1369
40.31,0.1559,0.21,0.2647,0.0693,0.3359,-0.0695
41.53,0.1553,0.34,0.5248,0.2237,0.5728,0.076
41.87,0.1521,1.26,0.6012,0.2503,0.6316,0.1013
42.47,0.1459,1.37,0.727,0.2629,0.7219,0.117
43.6,0.1436,0.93,0.9794,0.2557,0.9703,0.1124
44.72,0.1331,1.14,1.2479,0.2341,1.2321,0.1019
45.83,0.1322,0.54,1.5009,0.1836,1.4904,0.0518
46.64,0.1395,0.32,1.5454,0.1645,1.5362,0.0253
49.78,0.143,0.2,1.7233,-0.0091,1.708,-0.1513
56.23,0.114,0.81,1.9856,-0.0939,1.9719,-0.2071
57.74,0.1051,1.32,2.2328,-0.1119,2.2107,-0.2146
59.24,0.1254,0.95,2.4928,-0.1013,2.4724,-0.225
60.92,0.1263,0.78,2.7669,-0.0835,2.752,-0.2089
62.47,0.1417,0.3,3.0147,-0.0792,3.005,-0.2206
64.05,0.1496,0.11,3.2706,-0.0782,3.2645,-0.2276
65.62,0.1267,0.04,3.5233,-0.0774,3.5263,-0.2041
67.2,0.1115,0.28,3.7711,-0.086,3.7624,-0.1971
68.84,0.0925,0.39,4.0287,-0.1174,4.0201,-0.2095
70.43,0.0908,0.71,4.2788,-0.1533,4.2724,-0.2438
72.03,0.0633,0.29,4.5259,-0.188,4.5178,-0.2508
73.82,0.0444,0.27,4.8057,-0.2588,4.7789,-0.2942
75.64,0.0285,0.08,5.0695,-0.3299,5.0556,-0.3548
77.39,0.0245,0.41,5.3243,-0.4216,5.3362,-0.443
79.12,0.0045,0.13,5.5934,-0.5326,5.5967,-0.5356
80.83,0.0296,0.26,5.8544,-0.6118,5.883,-0.6044
82.57,0.0332,0.61,6.1126,-0.6532,6.1392,-0.6333
84.24,0.0459,1.17,6.3919,-0.6734,6.4218,-0.6384
86.01,0.0613,0.67,6.6661,-0.686,6.707,-0.6403
87.56,0.0885,0.33,6.9169,-0.6926,6.9722,-0.6235
89.07,0.1082,0.33,7.166,-0.6763,7.2309,-0.5898
90.27,0.1195,0.8,7.3455,-0.6342,7.4207,-0.5414
91.71,0.0998,0.5,7.5349,-0.5405,7.5977,-0.4629
92.64,0.0781,0.04,7.6546,-0.4449,7.7156,-0.3962
93.9,0.0772,0.48,7.7813,-0.2917,7.8362,-0.2374
95.8,0.0484,0.41,7.9315,-0.018,7.9691,0.0125
97.59,0.0394,0.81,8.0866,0.2461,8.1196,0.2676
99.34,0.0264,0.97,8.2477,0.4989,8.2686,0.5152
101.23,0.0179,0.44,8.4187,0.7587,8.4202,0.7409
103.36,0.0094,0.52,8.5903,1.0056,8.5847,0.998
104.88,0.0115,0.61,8.6258,1.0506,8.6341,1.0426
106.0,0.0328,0.14,8.6258,1.0504,8.658,1.044
107.7,0.0572,0.41,8.6257,1.05,8.6829,1.0504
