Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
18.94,0.0799,0.73,0.0,0.0,0.064,-0.0478
55.63,0.0758,1.63,0.0977,0.0084,0.1507,-0.0458
56.47,0.0668,0.3,0.3,0.0767,0.3364,0.0208
57.6,0.0773,0.71,0.5562,0.2016,0.5679,0.1253
58.78,0.1051,1.26,0.8091,0.3577,0.8258,0.2539
59.68,0.1173,0.62,0.9734,0.4804,0.9784,0.3631
59.91,0.113,1.86,1.03,0.4963,1.0308,0.3834
60.13,0.1172,1.39,1.0852,0.4993,1.0708,0.3831
60.47,0.1166,1.13,1.1721,0.4855,1.1388,0.3737
61.07,0.0994,0.56,1.3104,0.4331,1.2831,0.3375
62.21,0.0895,0.1,1.5676,0.3055,1.5185,0.2307
63.26,0.09,0.38,1.819,0.2094,1.7551,0.146
64.33,0.0968,0.53,2.0776,0.135,2.0069,0.0689
65.36,0.0967,0.28,2.3281,0.0707,2.2576,0.0047
66.38,0.0894,1.53,2.5775,0.0048,2.5041,-0.0462
67.42,0.0848,2.68,2.8323,-0.0776,2.7626,-0.1259
68.54,0.0887,1.16,3.0873,-0.21,3.0185,-0.266
69.67,0.0868,1.53,3.3394,-0.3455,3.271,-0.3988
70.83,0.0976,1.32,3.5934,-0.4818,3.5046,-0.5222
71.95,0.0962,1.21,3.8466,-0.6148,3.7508,-0.6243
73.18,0.0837,2.08,4.0971,-0.6833,4.0159,-0.7032
74.28,0.0723,2.14,4.3475,-0.8021,4.2756,-0.7943
75.41,0.0918,1.83,4.605,-0.9401,4.5169,-0.9139
76.59,0.0916,2.29,4.8575,-1.0897,4.7798,-1.0412
77.76,0.0816,1.14,5.1134,-1.2425,5.0428,-1.2014
78.92,0.0727,0.87,5.3712,-1.3891,5.3163,-1.3415
80.05,0.0728,1.58,5.6249,-1.5261,5.5795,-1.4692
81.23,0.1,2.69,5.883,-1.6727,5.8393,-1.5827
82.39,0.1079,3.14,6.137,-1.8244,6.1033,-1.7219
83.55,0.0953,2.79,6.3867,-1.98,6.3591,-1.8888
84.72,0.129,3.29,6.6415,-2.1346,6.6171,-2.008
85.9,0.1202,3.86,6.8945,-2.2935,6.8849,-2.1737
87.09,0.1325,3.93,7.1497,-2.4588,7.1375,-2.3269
88.3,0.1583,4.53,7.4059,-2.6337,7.4055,-2.4754
89.56,0.2206,4.16,7.6527,-2.8342,7.6697,-2.6142
91.77,0.2038,4.04,7.8224,-2.9744,7.8587,-2.7739
