Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
39.52,0.1553,0.13,-0.0002,-0.0,0.0907,-0.1259
51.27,0.1527,2.16,0.0867,0.0089,0.1456,-0.1321
51.51,0.1537,2.84,0.1429,0.031,0.1854,-0.1167
51.74,0.1497,1.84,0.1892,0.0626,0.2247,-0.0828
52.01,0.1316,1.3,0.236,0.1104,0.2792,-0.014
53.05,0.146,0.85,0.3765,0.3301,0.4156,0.1894
55.07,0.172,2.1,0.4893,0.5866,0.5186,0.4171
57.36,0.1966,1.94,0.5967,0.8388,0.6234,0.644
59.23,0.1965,2.0,0.7096,1.0326,0.7305,0.8372
60.7,0.188,1.96,0.8233,1.1552,0.83,0.9673
62.71,0.1766,2.09,1.0262,1.2934,1.0297,1.1169
65.2,0.2182,4.04,1.2832,1.4649,1.2874,1.2467
66.61,0.2029,4.49,1.3981,1.5889,1.417,1.3869
67.99,0.1895,3.09,1.4829,1.7323,1.4813,1.5428
69.63,0.1919,3.37,1.5497,1.9253,1.5392,1.7337
71.57,0.184,2.27,1.5902,2.178,1.5673,1.9954
73.35,0.1739,1.72,1.6073,2.4404,1.5908,2.2673
77.21,0.158,1.28,1.61,2.6918,1.6034,2.534
79.43,0.1446,1.33,1.6184,2.9479,1.6236,2.8034
80.56,0.1244,0.6,1.6299,3.2012,1.6277,3.0769
81.6,0.1117,1.17,1.6653,3.4577,1.6564,3.3464
82.65,0.1027,1.98,1.7387,3.7094,1.731,3.6069
83.74,0.1118,2.67,1.8568,3.9614,1.8513,3.8497
84.94,0.1229,3.24,2.019,4.2181,2.0227,4.0953
86.14,0.1547,3.97,2.1935,4.4686,2.2259,4.3173
87.47,0.197,4.01,2.4147,4.7194,2.4477,4.5252
88.57,0.2072,3.73,2.6352,4.8922,2.6641,4.687
89.59,0.2209,2.9,2.8682,5.0016,2.8687,4.7807
90.66,0.2232,2.35,3.126,5.0687,3.1223,4.8455
91.66,0.2159,2.74,3.3763,5.0848,3.3376,4.8724
92.66,0.2211,3.6,3.6307,5.0627,3.5845,4.8465
93.66,0.2203,4.2,3.8797,5.0512,3.8208,4.8389
