Time_s,Error_Translation_m,Error_Rotation_deg,GT_X,GT_Y,AMCL_X,AMCL_Y
26.96,0.1441,0.07,0.0,0.0,0.1022,-0.1016
55.67,0.1491,1.34,-0.0019,-0.0,0.0804,-0.1243
56.23,0.1432,1.41,-0.0019,-0.0,0.0533,-0.1322
56.7,0.1417,1.97,-0.0012,0.0004,0.0321,-0.1373
57.16,0.165,2.41,-0.0012,0.0004,0.0302,-0.1615
57.64,0.1648,3.16,0.0002,0.003,0.0304,-0.159
58.0,0.1736,3.06,0.0035,0.0122,0.0289,-0.1595
58.45,0.1507,2.36,0.0047,0.0221,0.0318,-0.1261
58.82,0.1556,2.37,0.0044,0.0279,0.0277,-0.1259
59.31,0.149,1.49,-0.005,0.0558,0.018,-0.0915
59.7,0.1505,1.19,-0.0355,0.1091,-0.0081,-0.0388
60.19,0.1397,0.19,-0.0737,0.1515,-0.0644,0.0121
60.95,0.127,0.13,-0.1427,0.2018,-0.1375,0.0749
61.72,0.1122,0.07,-0.2358,0.2432,-0.2407,0.131
62.83,0.111,0.84,-0.3758,0.2736,-0.3714,0.1627
64.9,0.0938,0.31,-0.6261,0.2803,-0.633,0.1868
66.9,0.0655,1.61,-0.8797,0.2623,-0.8812,0.1968
68.92,0.0442,2.04,-1.1333,0.2339,-1.1434,0.1909
71.09,0.0229,2.85,-1.3881,0.1943,-1.3689,0.1818
73.52,0.0274,4.39,-1.6397,0.1308,-1.6227,0.1522
76.0,0.0722,4.41,-1.8965,0.0632,-1.8533,0.121
78.24,0.0933,5.18,-2.1429,0.0204,-2.0682,0.0764
80.6,0.1207,4.11,-2.4014,-0.0403,-2.3036,0.0305
82.86,0.1152,4.48,-2.6565,-0.0928,-2.5768,-0.0096
87.67,0.0978,4.88,-2.9053,-0.1197,-2.847,-0.0411
89.89,0.1304,5.72,-3.1612,-0.1141,-3.0922,-0.0035
92.15,0.1526,5.44,-3.4189,-0.1121,-3.3484,0.0232
94.44,0.1876,5.42,-3.6806,-0.121,-3.603,0.0498
97.48,0.175,4.44,-3.937,-0.1274,-3.8769,0.0369
99.62,0.1541,3.02,-4.1853,-0.1343,-4.139,0.0127
101.94,0.1416,2.35,-4.4412,-0.1102,-4.3938,0.0232
104.19,0.1118,1.61,-4.6958,-0.0489,-4.6717,0.0603
106.5,0.0964,1.51,-4.952,0.0344,-4.9117,0.1219
108.79,0.0934,1.01,-5.2081,0.114,-5.1363,0.1738
111.01,0.0955,1.65,-5.4593,0.1662,-5.3775,0.2155
113.27,0.0796,2.48,-5.7114,0.2064,-5.6343,0.226
115.51,0.0883,3.55,-5.9656,0.2385,-5.8805,0.2622
117.6,0.0968,3.19,-6.2212,0.2577,-6.1283,0.2846
119.8,0.106,2.42,-6.4773,0.2692,-6.3756,0.2993
122.35,0.099,2.21,-6.7309,0.2806,-6.6338,0.2999
124.45,0.0778,1.42,-6.979,0.2981,-6.9011,0.2996
126.55,0.0797,1.62,-7.2313,0.3471,-7.1519,0.3402
128.48,0.0775,0.92,-7.4356,0.4289,-7.3621,0.4043
129.61,0.0914,1.29,-7.5501,0.5042,-7.4791,0.4467
130.75,0.0953,1.09,-7.6427,0.6015,-7.5653,0.546
132.17,0.0918,0.66,-7.734,0.7447,-7.6491,0.7096
134.31,0.1083,0.57,-7.8164,0.9557,-7.7313,0.8888
135.63,0.0987,0.7,-7.8397,1.1017,-7.7681,1.0337
137.8,0.083,0.81,-7.8256,1.3581,-7.7863,1.285
140.75,0.0739,0.03,-7.7863,1.6082,-7.752,1.5428
143.33,0.0699,0.42,-7.7574,1.8607,-7.7203,1.8015
144.79,0.0517,1.13,-7.7567,1.8923,-7.7365,1.8447
145.43,0.0522,1.0,-7.7567,1.8922,-7.7655,1.8408
146.23,0.0655,0.6,-7.7567,1.8922,-7.7907,1.8362
147.26,0.0709,1.12,-7.7567,1.8922,-7.8065,1.8417
148.92,0.0952,1.9,-7.7567,1.8922,-7.8355,1.8386
151.25,0.0774,0.94,-7.7485,1.8953,-7.817,1.8592
